id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
73,EZ/RTT,,,PMC8394557,No,Include,Humans,,Children-Basel,MDPI,2021,2.078,"The sample size was calculated with the assumption of a 15% difference (half of the previously published [10]) in the prevalence of HP infection between the studied group (25% vs 10%), assuming type II error of 20% and type I error of 5%. The minimal numbers of patients and controls were defined as 100 for each group. The minimum sample size was calculated using G*Power software (University of Kiel, Kiel, Germany).",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),NA,Yes,200,"Other: Non-standardized (e.g., 5 points on a questionnaire scale).",,percentage difference,Yes,0.15,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
73,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,EZ,,NA,PMC7382321,No,Include,Humans,,BMC HEALTH SERVICES RESEARCH,,2020,1.932,"The number of families per group was determined by a priori power analyses using the commonly accepted power level of .80 and Œ±‚Äâ=‚Äâ.05. A power analysis in G*Power 3.1 [40] was performed for the research question on the overall effectiveness of InConnection in terms of primary and secondary outcomes. A total sample size of n‚Äâ=‚Äâ138 is sufficient to identify small effects (f‚Äâ=‚Äâ.10) in repeated measures analyses of variance. We estimated the power of the analyses to examine mediation [41] and moderation [42] of intervention effects using R [43]. Our total sample size of n‚Äâ=‚Äâ150 is sufficient to detect mediation in a model with medium correlations (r‚Äâ=‚Äâ.30), and to detect moderation in a model with Œ≤‚Äâ=‚Äâ.25. Analyses to test prediction of intervention effects and to compare youth who nominated a YIM mentor to youth who did not, will be performed using the intervention group only (n‚Äâ=‚Äâ225). For the regression analyses to test prediction of effectiveness, sample sizes of n‚Äâ=‚Äâ52‚Äì65 are required depending on the number of predictors to find a small effect (f2‚Äâ=‚Äâ.20) as demonstrated by power analyses in G*Power 3.1 [40]. A sample of n‚Äâ=‚Äâ228 is required for the t-test comparing youth who found a YIM to youth who did not, to find a medium effect (d‚Äâ=‚Äâ.20). Expectations of effect sizes were based on meta-analyses on the effects of formal [24] and informal [25] mentoring, as well as empirical studies on the effects of YIM in the context of care [27‚Äì29].",Unsure,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
74,EZ2,1,,PMC7382321,Yes,Include,Humans,,BMC Health Services Research,,2020,JCR proxy bug (can't look it up for some reason....),"The number of families per group was determined by a priori power analyses using the commonly accepted power level of .80 and Î±â€‰=â€‰.05. A power analysis in G*Power 3.1 [40] was performed for the research question on the overall effectiveness of InConnection in terms of primary and secondary outcomes. A total sample size of nâ€‰=â€‰138 is sufficient to identify small effects (fâ€‰=â€‰.10) in repeated measures analyses of variance. We estimated the power of the analyses to examine mediation [41] and moderation [42] of intervention effects using R [43]. Our total sample size of nâ€‰=â€‰150 is sufficient to detect mediation in a model with medium correlations (râ€‰=â€‰.30), and to detect moderation in a model with Î²â€‰=â€‰.25. Analyses to test prediction of intervention effects and to compare youth who nominated a YIM mentor to youth who did not, will be performed using the intervention group only (nâ€‰=â€‰225). For the regression analyses to test prediction of effectiveness, sample sizes of nâ€‰=â€‰52â€“65 are required depending on the number of predictors to find a small effect (f2â€‰=â€‰.20) as demonstrated by power analyses in G*Power 3.1 [40]. A sample of nâ€‰=â€‰228 is required for the t-test comparing youth who found a YIM to youth who did not, to find a medium effect (dâ€‰=â€‰.20). Expectations of effect sizes were based on meta-analyses on the effects of formal [24] and informal [25] mentoring, as well as empirical studies on the effects of YIM in the context of care [27â€“29].",Solves for sample size (often called a priori),,Yes,Yes,Yes,3.1,Yes (0.80),,Yes (0.05),,Yes,138,f,,,Yes,0.1,ANOVA,,,"Dont know whether it's within between, corr among rep measures non sphericity correction, groups or measures ...",No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",The article is a protocol,,No,,Using the Cohen setting we get 1100 as the required sample size,,
74,RTT,2,NA,PMC7382321,Yes,Include,Humans,,BMC HEALTH SERVICES RESEARCH,,2020,2.655,"The number of families per group was determined by a priori power analyses using the commonly accepted power level of .80 and Œ±‚Äâ=‚Äâ.05. A power analysis in G*Power 3.1 [40] was performed for the research question on the overall effectiveness of InConnection in terms of primary and secondary outcomes. A total sample size of n‚Äâ=‚Äâ138 is sufficient to identify small effects (f‚Äâ=‚Äâ.10) in repeated measures analyses of variance. We estimated the power of the analyses to examine mediation [41] and moderation [42] of intervention effects using R [43]. Our total sample size of n‚Äâ=‚Äâ150 is sufficient to detect mediation in a model with medium correlations (r‚Äâ=‚Äâ.30), and to detect moderation in a model with Œ≤‚Äâ=‚Äâ.25. Analyses to test prediction of intervention effects and to compare youth who nominated a YIM mentor to youth who did not, will be performed using the intervention group only (n‚Äâ=‚Äâ225). For the regression analyses to test prediction of effectiveness, sample sizes of n‚Äâ=‚Äâ52‚Äì65 are required depending on the number of predictors to find a small effect (f2‚Äâ=‚Äâ.20) as demonstrated by power analyses in G*Power 3.1 [40]. A sample of n‚Äâ=‚Äâ228 is required for the t-test comparing youth who found a YIM to youth who did not, to find a medium effect (d‚Äâ=‚Äâ.20). Expectations of effect sizes were based on meta-analyses on the effects of formal [24] and informal [25] mentoring, as well as empirical studies on the effects of YIM in the context of care [27‚Äì29].
 
 If the data show a hierarchical structure and require multilevel analyses, we will perform an interim power analysis while recruitment is still active. To estimate power for multilevel analyses, a large number of factors must be estimated, including the means, variances, and covariances for the explanatory variables, the sample sizes at each level and the variances and covariances for the random effects. These values are notoriously difficult to estimate a priori [44]. Therefore, we will use an internal pilot study design to perform an interim power analysis before closing the recruitment phase to determine whether a sufficient sample size has been obtained or whether the recruitment phase should be extended (within the constraints of our project) [45].","Solves for sample size (often called a priori),Solves for effect size (often called sensitivity)",,Yes,Probably,Yes,3.1,Yes (0.80),,Yes (0.05),NA,Yes,138,f,,,Yes,0.1,ANOVA,,,"number of measurements, correlation between repeated measures, what type of repeated measures (interaction, fully repeated measures), default option.","Yes, but I've had to make some assumptions. (please list the assumptions you made)","4 measure time points (noted elsewhere in the protocol); within-between or between (can be assumed based on the design), correlation among rep measures (default of 0.5), option (default)",Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",The article is a protocol,,No,,sample of 138 with default option vs. 1092 with Cohen's option. (or f of 0.1 vs f(V) 0.283),"""Expectations of effect sizes were based on meta-analyses on the effects of formal [24] and informal [25] mentoring, as well as empirical studies on the effects of YIM in the context of care [27‚Äì29].""",
74,EZ/RTT,,NA,PMC7382321,Yes,Include,Humans,,BMC HEALTH SERVICES RESEARCH,BMC,2020,2.655,"The number of families per group was determined by a priori power analyses using the commonly accepted power level of .80 and Œ±‚Äâ=‚Äâ.05. A power analysis in G*Power 3.1 [40] was performed for the research question on the overall effectiveness of InConnection in terms of primary and secondary outcomes. A total sample size of n‚Äâ=‚Äâ138 is sufficient to identify small effects (f‚Äâ=‚Äâ.10) in repeated measures analyses of variance. We estimated the power of the analyses to examine mediation [41] and moderation [42] of intervention effects using R [43]. Our total sample size of n‚Äâ=‚Äâ150 is sufficient to detect mediation in a model with medium correlations (r‚Äâ=‚Äâ.30), and to detect moderation in a model with Œ≤‚Äâ=‚Äâ.25. Analyses to test prediction of intervention effects and to compare youth who nominated a YIM mentor to youth who did not, will be performed using the intervention group only (n‚Äâ=‚Äâ225). For the regression analyses to test prediction of effectiveness, sample sizes of n‚Äâ=‚Äâ52‚Äì65 are required depending on the number of predictors to find a small effect (f2‚Äâ=‚Äâ.20) as demonstrated by power analyses in G*Power 3.1 [40]. A sample of n‚Äâ=‚Äâ228 is required for the t-test comparing youth who found a YIM to youth who did not, to find a medium effect (d‚Äâ=‚Äâ.20). Expectations of effect sizes were based on meta-analyses on the effects of formal [24] and informal [25] mentoring, as well as empirical studies on the effects of YIM in the context of care [27‚Äì29].
 
 If the data show a hierarchical structure and require multilevel analyses, we will perform an interim power analysis while recruitment is still active. To estimate power for multilevel analyses, a large number of factors must be estimated, including the means, variances, and covariances for the explanatory variables, the sample sizes at each level and the variances and covariances for the random effects. These values are notoriously difficult to estimate a priori [44]. Therefore, we will use an internal pilot study design to perform an interim power analysis before closing the recruitment phase to determine whether a sufficient sample size has been obtained or whether the recruitment phase should be extended (within the constraints of our project) [45].","Solves for sample size (often called a priori),Solves for effect size (often called sensitivity)",,Yes,Probably,Yes,3.1,Yes (0.80),,Yes (0.05),NA,Yes,138,f,,,Yes,0.1,ANOVA,,,"number of measurements, correlation between repeated measures, what type of repeated measures (interaction, fully repeated measures), default option.","Yes, but I've had to make some assumptions. (please list the assumptions you made)","4 measure time points (noted elsewhere in the protocol); within-between or between (can be assumed based on the design), correlation among rep measures (default of 0.5), option (default)",Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",The article is a protocol,,No,,sample of 138 with default option vs. 1092 with Cohen's option. (or f of 0.1 vs f(V) 0.283),"""Expectations of effect sizes were based on meta-analyses on the effects of formal [24] and informal [25] mentoring, as well as empirical studies on the effects of YIM in the context of care [27‚Äì29].""",
74,resolveNotes,,,,nc,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,see screenshot,,,,,,,,,,,,,
75,EZ,1,NA,PMC8211763,No,Include,Humans,,Frontiers in Psychology,,2021,2.067,"A total of 55 German soldiers (53 male, 2 female; Mage = 23.11, SDage = 1.54) studying at Helmut Schmidt University, an educational institution of the German armed forces located in Hamburg, Germany, participated voluntarily in the study. Participants majored in various subjects (industrial engineering: n = 18, business administration: n = 9, electrical engineering: n = 8, mechanical engineering: n = 6, other majors: n = 11). All participants were to be deployed to Afghanistan or Kosovo in the near future. The authors used the G*Power 3 program of Faul et al. (2007) to conduct a sensitivity power analysis with the following parameters: for the independent t-test, two-tailed, Œ± error probability = 0.05, N = 52 (26 for each group), and Power = 0.81. This analysis showed that the analysis is sensitive enough for effects size r ‚â• 0.37. This expected effect size is also in accordance with a meta-analysis on Terror management theory that results in a substantial effect size (Burke et al., 2010).",Solves for effect size (often called sensitivity),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
75,RTT,2,NA,PMC8211763,No,Include,Humans,,Frontiers in Psychology,,2021,2.067,"The authors used the G*Power 3 program of Faul et al. (2007) to conduct a sensitivity power analysis with the following parameters: for the independent t-test, two-tailed, Œ± error probability = 0.05, N = 52 (26 for each group), and Power = 0.81. This analysis showed that the analysis is sensitive enough for effects size r ‚â• 0.37. This expected effect size is also in accordance with a meta-analysis on Terror management theory that results in a substantial effect size (Burke et al., 2010).",Solves for effect size (often called sensitivity),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
75,EZ/RTT,,NA,PMC8211763,No,Include,Humans,,Frontiers in Psychology,FRONTIERS MEDIA SA,2021,2.067,"The authors used the G*Power 3 program of Faul et al. (2007) to conduct a sensitivity power analysis with the following parameters: for the independent t-test, two-tailed, Œ± error probability = 0.05, N = 52 (26 for each group), and Power = 0.81. This analysis showed that the analysis is sensitive enough for effects size r ‚â• 0.37. This expected effect size is also in accordance with a meta-analysis on Terror management theory that results in a substantial effect size (Burke et al., 2010).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,EZ,1,NA,PMC6173246,No,Include,Humans,,BMJ Open,,2018,2.369,"Power calculations were adapted for repeated-measures analysis of variance (ANOVA) enabling us to calculate the required sample size with G*Power.108 As multilevel modelling offers enhanced statistical power over a common ANOVA approach, the sample size calculated represents a conservative estimate. Power calculations are based on findings from van Aalderen et al. 109 The authors investigated the effects of a mindfulness-based cognitive therapy for depressed patients within a large-scale RCT and found a medium sized effect of d=0.53‚ÄâSD compared with a TAU condition on the HDRS (ie, the primary outcome of our study). Assuming a similar medium-sized effect (f=0.25) when comparing CBCT-fC to TAU from pre-to-post intervention, power analysis with G*Power suggests a required sample size of n=40 ((1-Œ≤)=0.80, œÅ=0.40). To accounting for a~20%‚Äâdropout, we plan to randomise n=50 couples into the study.",Solves for sample size (often called a priori),,No,Probably,No,,Yes (0.80),,No,NA,Yes,40,f,,,Yes,0.25,ANOVA,,,non sphericity correction potentially,No,,"Previously published research,Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but I cannot reasonably assume which option they used.",Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,
76,RTT,2,NA,PMC6173246,Yes,Include,Humans,,BMJ Open,,2018,2.369,"Power calculations were adapted for repeated-measures analysis of variance (ANOVA) enabling us to calculate the required sample size with G*Power.108 As multilevel modelling offers enhanced statistical power over a common ANOVA approach, the sample size calculated represents a conservative estimate. Power calculations are based on findings from van Aalderen et al. 109 The authors investigated the effects of a mindfulness-based cognitive therapy for depressed patients within a large-scale RCT and found a medium sized effect of d=0.53‚ÄâSD compared with a TAU condition on the HDRS (ie, the primary outcome of our study). Assuming a similar medium-sized effect (f=0.25) when comparing CBCT-fC to TAU from pre-to-post intervention, power analysis with G*Power suggests a required sample size of n=40 ((1-Œ≤)=0.80, œÅ=0.40). To accounting for a~20%‚Äâdropout, we plan to randomise n=50 couples into the study.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,No,NA,Yes,40,f,,,Yes,0.25,ANOVA,,,"default option, number of measres, correlation between measures, interaction or main effect",No,,Previously published research,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,"Yes, but I cannot reasonably assume which option they used.",The article is a protocol,,Unsure (there's not enough information to reasonably code yes or no).,,,,
76,EZ/RTT,,NA,PMC6173246,Yes,Include,Humans,,BMJ Open,BMJ PUBLISHING GROUP,2018,2.369,"Power calculations were adapted for repeated-measures analysis of variance (ANOVA) enabling us to calculate the required sample size with G*Power.108 As multilevel modelling offers enhanced statistical power over a common ANOVA approach, the sample size calculated represents a conservative estimate. Power calculations are based on findings from van Aalderen et al. 109 The authors investigated the effects of a mindfulness-based cognitive therapy for depressed patients within a large-scale RCT and found a medium sized effect of d=0.53‚ÄâSD compared with a TAU condition on the HDRS (ie, the primary outcome of our study). Assuming a similar medium-sized effect (f=0.25) when comparing CBCT-fC to TAU from pre-to-post intervention, power analysis with G*Power suggests a required sample size of n=40 ((1-Œ≤)=0.80, œÅ=0.40). To accounting for a~20%‚Äâdropout, we plan to randomise n=50 couples into the study.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,No,NA,Yes,40,f,,,Yes,0.25,ANOVA,,,"default option, number of measres, correlation between measures, interaction or main effect",No,,Previously published research,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,"Yes, but I cannot reasonably assume which option they used.",The article is a protocol,,Unsure (there's not enough information to reasonably code yes or no).,,,,
76,resolveNotes,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc,,,,,,
77,EZ,1,NA,PMC8646843,No,Include,Humans,,JOURNAL OF REHABILITATION MEDICINE,,2021,2.046,"The children were allocated randomly into 3 groups; control, AFO, and combination taping groups. Randomization was done using specific software (random allocation software 1.0, 2011) into 3 equal groups. G*Power (Universities, Dusseldorf, Germany) software was used to calculate the sample size of the outcome parameter walking velocity, with an alpha of 0.05, power of 80%, and an effect size of 0.48. The sample size was 36 children.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),NA,Yes,36,No,,,Yes,0.48,the statistical test is NOT reported,,,,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
77,RTT,2,NA,PMC8646843,No,Include,Humans,,JOURNAL OF REHABILITATION MEDICINE,,2021,2.046,"G*Power (Universities, Dusseldorf, Germany) software was used to calculate the sample size of the outcome parameter walking velocity, with an alpha of 0.05, power of 80%, and an effect size of 0.48. The sample size was 36 children.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),NA,Yes,36,No,,,Yes,0.48,the statistical test is NOT reported,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",That they ran a paired sample t-test and rounded the number of participants down. Two-tailed,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",The statistical analysis part says they Bonferroni corrected.,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,"I said I could reproduce their analysis, but I had to assume the test and am not sure it is a reasonable assumption. So I remain uncertain what analysis they used for the power calc.",Unsure (there's not enough information to reasonably code yes or no).,,,,
77,EZ/RTT,,NA,PMC8646843,No,Include,Humans,,JOURNAL OF REHABILITATION MEDICINE,FOUNDATION REHABILITATION INFORMATION,2021,2.046,"G*Power (Universities, Dusseldorf, Germany) software was used to calculate the sample size of the outcome parameter walking velocity, with an alpha of 0.05, power of 80%, and an effect size of 0.48. The sample size was 36 children.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),NA,Yes,36,No,,,Yes,0.48,the statistical test is NOT reported,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",That they ran a paired sample t-test and rounded the number of participants down. Two-tailed,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",The statistical analysis part says they Bonferroni corrected.,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,"I said I could reproduce their analysis, but I had to assume the test and am not sure it is a reasonable assumption. So I remain uncertain what analysis they used for the power calc.",Unsure (there's not enough information to reasonably code yes or no).,,,,
77,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc,,,,,,,,,,,,,
78,EZ,1,NA,PMC8473704,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Frontiers in Cellular and Infection Microbiology,,2021,4.123,"And also, the effect size was calculated by statistical software (G*power 3.1.9.2) after statistical analysis (Faul et al., 2007; Erdfelder et al., 2009). Effect size indicated 1.111 from the result of statistical analysis for ANOVA. This value indicates a strong statistical effect.",Solves for effect size (often called sensitivity),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
78,RTT,2,NA,PMC8473704,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Frontiers in Cellular and Infection Microbiology,,2021,4.123,"And also, the effect size was calculated by statistical software (G*power 3.1.9.2) after statistical analysis (Faul et al., 2007; Erdfelder et al., 2009). Effect size indicated 1.111 from the result of statistical analysis for ANOVA. This value indicates a strong statistical effect.",Solves for effect size (often called sensitivity),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
78,EZ/RTT,,NA,PMC8473704,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Frontiers in Cellular and Infection Microbiology,FRONTIERS MEDIA SA,2021,4.123,"And also, the effect size was calculated by statistical software (G*power 3.1.9.2) after statistical analysis (Faul et al., 2007; Erdfelder et al., 2009). Effect size indicated 1.111 from the result of statistical analysis for ANOVA. This value indicates a strong statistical effect.",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,EZ,1,NA,PMC6814573,No,Include,Humans,,JOURNAL OF ADOLESCENT HEALTH,,2020,4.021,"Achieved power for ANOVA analyses was calculated using G*Power version 3.1.9.2 (Edgar Erdfelder et al., Heinrich-Heine-Universit√§t D√ºsseldorf, D√ºsseldorf, Germany).26 Power to detect small, medium, and large effects all exceeded 0.99.",Solves for power (often called post hoc),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
79,RTT,2,NA,PMC6814573,No,Include,Humans,,JOURNAL OF ADOLESCENT HEALTH,,2019,4.098,"Achieved power for ANOVA analyses was calculated using G*Power version 3.1.9.2 (Edgar Erdfelder et al., Heinrich-Heine-Universit√§t D√ºsseldorf, D√ºsseldorf, Germany).26 Power to detect small, medium, and large effects all exceeded 0.99.",Solves for power (often called post hoc),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
79,EZ/RTT,,NA,PMC6814573,No,Include,Humans,,JOURNAL OF ADOLESCENT HEALTH,ELSEVIER SCIENCE INC,2019,4.098,"Achieved power for ANOVA analyses was calculated using G*Power version 3.1.9.2 (Edgar Erdfelder et al., Heinrich-Heine-Universit√§t D√ºsseldorf, D√ºsseldorf, Germany).26 Power to detect small, medium, and large effects all exceeded 0.99.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,EZ,1,NA,PMC7139826,No,Include,Humans,,Brain Sciences,,2020,NA,"G Power 3 (Heinrich Heine University, D√ºsseldorf, Germany) was used to determine the sample size required to find a significant difference in object-location memory performance between incidental and intentional encoding. The power analysis indicated that 47 participants would be needed to detect a medium effect size (dz = 0.5) with an alpha level of 0.05 and 90% power.",Solves for sample size (often called a priori),,No,Probably,Yes,3,Yes,0.9,Yes (0.05),NA,Yes,47,Other: Standardized,dz,,Yes,0.5,the statistical test is NOT reported,,,t-test actually doesn't report allocation or matched or not or really anything,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
80,RTT,2,NA,PMC7139826,No,Include,Humans,,Brain Sciences,,2020,2.786,"G Power 3 (Heinrich Heine University, D√ºsseldorf, Germany) was used to determine the sample size required to find a significant difference in object-location memory performance between incidental and intentional encoding. The power analysis indicated that 47 participants would be needed to detect a medium effect size (dz = 0.5) with an alpha level of 0.05 and 90% power.",Solves for sample size (often called a priori),,No,Yes,Yes,3,Yes,0.9,Yes (0.05),NA,Yes,47,d,,,Yes,0.5,the statistical test is NOT reported,,,tails,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","two tailed, statistical test taken from another section of the article; parent discribution (normal)","Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",There are at least 2 analysis for what they powered for (two figures),No,Yes,"I've assumed that the test used in their power calculaiton matches, because I could reproduce the power calc.",No,,,,
80,EZ/RTT,,NA,PMC7139826,No,Include,Humans,,Brain Sciences,MDPI,2020,2.786,"G Power 3 (Heinrich Heine University, D√ºsseldorf, Germany) was used to determine the sample size required to find a significant difference in object-location memory performance between incidental and intentional encoding. The power analysis indicated that 47 participants would be needed to detect a medium effect size (dz = 0.5) with an alpha level of 0.05 and 90% power.",Solves for sample size (often called a priori),,No,Yes,Yes,3,Yes,0.9,Yes (0.05),NA,Yes,47,d,,,Yes,0.5,the statistical test is NOT reported,,,tails,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","two tailed, statistical test taken from another section of the article; parent discribution (normal)","Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,"I've assumed that the test used in their power calculaiton matches, because I could reproduce the power calc.",No,,,,
80,resolveNotes,,,,,,,,,,,nc,,,,,,,,,,,,,,"we will include dz in the family of ""d"" effect sizes",,,,,,,,,nc,,,,,,,nc,,nc,,,,
81,EZ,1,NA,PMC8262247,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,PATHOLOGY & ONCOLOGY RESEARCH,,2021,2.826,"Also, the total sample size of 35 was calculated by G-POWER 3.1.9.7 software with the alpha probability of 0.05, effect size of 0.8 and a power of 0.80 in order to the sufficient number of mice per group.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1.9.7,Yes (0.80),,Yes (0.05),NA,Yes,35,No,,,Yes,0.8,the statistical test is NOT reported,,,,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
81,RTT,2,NA,PMC8262247,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,PATHOLOGY & ONCOLOGY RESEARCH,,2021,2.826,"Also, the total sample size of 35 was calculated by G-POWER 3.1.9.7 software with the alpha probability of 0.05, effect size of 0.8 and a power of 0.80 in order to the sufficient number of mice per group.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1.9.7,Yes (0.80),,Yes (0.05),NA,Yes,35,No,,,Yes,0.8,the statistical test is NOT reported,,,,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
